CODE_N,COMMUNE,BVQ_N,POPSDC99,LOG,LOGVAC,stratlog
31205,GAGNAC-SUR-G,31555,1635.00,614.00,16.00,3
31364,MONTBERON,31555,2342.00,789.00,24.00,3
31091,BRUGUIERES,31555,3862.00,1395.00,32.00,4
31230,GRATENTOUR,31555,3035.00,1010.00,26.00,4
31490,SAINT-JORY,31555,4069.00,1490.00,67.00,4
31022,AUCAMVILLE,31555,5533.00,2278.00,77.00,4
31116,CASTELGINEST,31555,7735.00,2874.00,93.00,4
31182,FENOUILLET,31555,4028.00,1569.00,70.00,4
31467,SAINT-ALBAN,31555,5186.00,1840.00,59.00,4
31410,PECHBONNIEU,31555,2997.00,1051.00,25.00,4
31273,LAPEYROUSE-F,31561,2056.00,725.00,22.00,3
31053,BEAUPUY,31561,1095.00,372.00,6.00,3
31462,ROUFFIAC-TOL,31561,1404.00,496.00,29.00,3
31484,SAINT-GENIES,31561,1781.00,667.00,19.00,3
31497,SAINT-LOUP-C,31561,1742.00,595.00,28.00,3
31389,MONTRABE,31561,3201.00,1105.00,23.00,4
31282,LAUNAGUET,31561,5086.00,1855.00,74.00,4
31117,CASTELMAUROU,31561,3261.00,1143.00,50.00,4
31488,SAINT-JEAN,31561,8362.00,3288.00,69.00,4
31074,BONREPOS-RIQ,31573,247.00,83.00,0.00,1
31511,SAINT-PIERRE,31573,209.00,84.00,9.00,1
31215,GAURE,31573,495.00,188.00,7.00,2
31285,LAVALETTE,31573,602.00,227.00,13.00,2
31501,SAINT-MARCEL,31573,401.00,155.00,7.00,2
31573,VERFEIL,31573,2504.00,1028.00,43.00,4
31401,NOUEILLES,31582,234.00,93.00,8.00,1
31568,VARENNES,31582,198.00,76.00,4.00,1
31099,CAIGNAC,31582,188.00,90.00,2.00,1
31354,MONESTROL,31582,55.00,21.00,0.00,1
31546,SEYRE,31582,76.00,33.00,1.00,1
31243,JUZES,31582,84.00,34.00,2.00,1
31329,MAURENS,31582,169.00,72.00,6.00,1
31393,MOURVILLES-H,31582,167.00,65.00,4.00,1
31054,BEAUTEVILLE,31582,104.00,54.00,2.00,1
31137,CESSALES,31582,130.00,53.00,5.00,1
31185,FOLCARDE,31582,86.00,37.00,3.00,1
31310,LUX,31582,171.00,67.00,3.00,1
31328,MAUREMONT,31582,223.00,89.00,3.00,1
31368,MONTCLAR-LAU,31582,139.00,51.00,2.00,1
31453,RIEUMAJOU,31582,87.00,42.00,8.00,1
31485,SAINT-GERMIE,31582,86.00,37.00,1.00,1
31514,SAINT-ROME,31582,68.00,29.00,2.00,1
31519,SAINT-VINCEN,31582,99.00,36.00,3.00,1
31576,VIEILLEVIGNE,31582,174.00,88.00,5.00,1
31284,LAUZERVILLE,31582,873.00,276.00,2.00,2
31192,FOURQUEVAUX,31582,716.00,269.00,14.00,2
31249,LABASTIDE-BE,31582,664.00,249.00,9.00,2
31402,ODARS,31582,583.00,211.00,10.00,2
31380,MONTGEARD,31582,323.00,151.00,4.00,2
31262,LAGARDE,31582,239.00,120.00,16.00,2
31377,MONTGAILLARD,31582,547.00,203.00,11.00,2
31450,RENNEVILLE,31582,334.00,141.00,15.00,2
31560,TREBONS-SUR-,31582,322.00,121.00,4.00,2
31566,VALLEGUE,31582,383.00,134.00,1.00,2
31036,AUZIELLE,31582,1558.00,494.00,6.00,3
31004,AYGUESVIVES,31582,1815.00,656.00,15.00,3
31048,BAZIEGE,31582,2196.00,819.00,44.00,3
31384,MONTLAUR,31582,889.00,330.00,11.00,3
31396,NAILLOUX,31582,1237.00,472.00,63.00,3
31495,SAINT-LEON,31582,750.00,305.00,31.00,3
31037,AVIGNONET-LA,31582,1069.00,449.00,27.00,3
31210,GARDOUCH,31582,996.00,419.00,34.00,3
31374,MONTESQUIEU-,31582,846.00,357.00,19.00,3
31589,VILLENOUVELL,31582,940.00,385.00,25.00,3
31582,VILLEFRANCHE,31582,3338.00,1546.00,102.00,4
31073,BONDIGOUX,31584,320.00,142.00,6.00,2
31077,LE BORN,31584,261.00,122.00,12.00,2
31288,LAYRAC-SUR-T,31584,264.00,123.00,8.00,2
31311,LA MAGDELEIN,31584,609.00,221.00,5.00,2
31346,MIREPOIX-SUR,31584,537.00,243.00,14.00,2
31583,VILLEMATIER,31584,861.00,361.00,22.00,3
31584,VILLEMUR-SUR,31584,4929.00,2342.00,120.00,4
